João Ferreira
Maria Silveira
Lila Meira
Benedita Teixeira
Carlos Caldeira
Ivan Pavlov
Sigmund Freud
Burrhus Frederic Skinner
William James
Jean Piaget
Wilhelm Wundt
Carl Rogers
Albert Bandura
Abraham Maslow
Erich Fromm
Kurt Lewin
Alfred Adler
Albert Ellis
John Watson
Gordon Allport
Solomon Asch
Erik Erikson
Viktor Frankl
Paul Ekman
Raymond Cattell
Hans Eysenck
Aaron Beck
Alfred Binet
Daniel Kahneman
Francis Galton
Jerome Bruner
Edward Thorndike
Lev Vygotsky
Carl Gustav Jung
Virginia Satir
Milton H. Erickson
Mihaly Csikszentmihalyi
Martin Selingman
Harry Harlow
Fritz Perls
Hermann Ebbinghaus
Hermann Rorschach
Anna Freud
Steven Pinker
Alfred Kinsey
Hugo Münsterberg
Robert Rosenthal
Robert Cialdini
Leon Festinger
Jacques Lacan
John Dewey
Rollo May
Urie Bronfenbrenner
Stanley Milgram
Robert Hare
Philip Zimbardo
Timothy Leary
Daniel Goleman
Gustav Fechner
Robert Sternberg
 
